,0,1,2,3,4,5
726,1642369860000,42972.82,43000.41,42969.53,42969.53,10667.63186164
727,1642369920000,42969.53,42995.48,42969.53,42993.58,11657.689583
728,1642369980000,42993.18,43000.5,42988.59,43000.49,14555.544719
729,1642370040000,43000.49,43010.52,42995.45,42995.45,4511.10714661
730,1642370100000,42988.61,43006.42,42982.61,43006.42,31630.017765
731,1642370160000,43007.29,43007.29,42987.26,42987.27,2693.2868150215
732,1642370220000,42987.27,43009.57,42987.27,43001.56,3512.664489
733,1642370280000,43001.79,43018.16,42972.18,42972.18,21310.5871101
734,1642370340000,42967.85,42969.89,42944.32,42953.44,51783.0626319
735,1642370400000,42954.92,43010.43,42942.38,43007.39,53591.88841664707
736,1642370460000,43011.71,43034.42,43006.23,43034.42,33759.0903967
737,1642370520000,43026.63,43035.89,43022.16,43031.16,11397.745279
738,1642370580000,43037.54,43054.79,43037.54,43054.79,46568.764902
739,1642370640000,43054.8,43085.28,43054.8,43077.19,41801.71240622
740,1642370700000,43077.19,43077.19,43060.27,43073.39,6890.408883
741,1642370760000,43075.28,43107.05,43069.88,43103.44,10075.0133512
742,1642370820000,43107.05,43149.99,43107.05,43123.85,17540.5307572022
743,1642370880000,43118.07,43132.74,43113.68,43114.27,7002.600256286
744,1642370940000,43115.34,43184.75,43115.34,43165.92,122667.72619278
745,1642371000000,43159.89,43166.25,43151.66,43152.9,50066.772757
746,1642371060000,43155.92,43155.92,43142.03,43150.93,14381.7327918
747,1642371120000,43151.92,43151.93,43142.08,43142.08,37182.6541115076
748,1642371180000,43133.36,43154.99,43130.65,43154.99,65567.6471463438
749,1642371240000,43155.0,43191.79,43152.2,43191.78,33940.70093525
750,1642371300000,43191.79,43206.15,43176.13,43188.33,107148.343833
751,1642371360000,43182.97,43200.4,43176.4,43192.02,16691.8358519687
752,1642371420000,43189.48,43189.48,43180.43,43181.2,5190.448073
753,1642371480000,43181.2,43188.47,43173.96,43181.19,3320.623932
754,1642371540000,43180.6,43180.61,43180.52,43180.61,40707.32433803
